gewaltverherrlichung,f
markierbelegabtaster,m
bewilligungszeitraum,m
zugriffsberechtigung,f
wechselstrommaschine,f
arbeitsplatzrotation,f
zweirichtungsdrucker,m
funktionstastenblock,m
oberleitungsfahrzeug,n
stichwortverzeichnis,n
lichtempfindlichkeit,f
fortpflanzungsfehler,m
arithmetik-prozessor,m
kolonnenverschiebung,f
brotschneidemaschine,f
konsumgenossenschaft,f
anlagenbewegungssatz,m
pflanzenschutzmittel,n
echtzeitverarbeitung,f
entscheidungsinstanz,f
berichtigungsbuchung,f
strafvollzugsanstalt,f
konversationslexikon,n
wiederholungszeichen,n
einschalteinrichtung,f
koordinatenschreiber,m
anspruchsregulierung,f
warmwasserbehandlung,f
verkaufsorganisation,f
wachsfigurenkabinett,n
wasserstandsanzeiger,m
unvoreingenommenheit,f
akzelerationsprinzip,n
insassenversicherung,f
fortschreibungsdatei,f
dateianfangskennsatz,m
leidenschaftlichkeit,f
belastungswiderstand,m
konditionenanpassung,f
schreckschusspistole,f
unterhaltungsaufwand,m
bedienungsmannschaft,f
leitspindel-drehbank,f
aktivierungsschalter,m
simultanverarbeitung,f
warmwasserversorgung,f
landwirtschaftsschau,f
kanalisationsschacht,m
erfassungsabwicklung,f
veredelungsindustrie,f
vorauszahlungsrabatt,m
richtungstaktschrift,f
eisenbahnfrachtbrief,m
stellvertretersymbol,n
rettungshubschrauber,m
winkelverwandtschaft,f
bildschirmaufteilung,f
fremdenfeindlichkeit,f
vollstreckungsbeamte,m
durchschnittsrendite,f
lastschriftenanzeige,f
mehrfachadressierung,f
stellenausschreibung,f
geschlechtslosigkeit,f
durchschreibformular,m
fehlerprotokolldatei,f
vermittlungszentrale,f
gemeinschaftswerbung,f
durchschlagsspannung,f
programmbeschreibung,f
bilddurchlaufbereich,m
schallplattenspieler,m
festwertversicherung,f
verbrennungsmaschine,f
anstellungsbedingung,f
kohlenwasserstoffgas,n
bereitstellungskonto,n
winterschlussverkauf,m
multiprozessorsystem,n
adressenmodifikation,f
quelle-senke-abstand,m
marktmachtmissbrauch,m
beleuchtungstechnik,f
wiederausfuhrhandel,m
kameradschaftsgeist,m
arbeitsgemeinschaft,f
verteilungsfunktion,f
koalitionsregierung,f
vermittlungsrechner,m
gewerkschaftsgegner,m
versicherungsnehmer,m
rechtsangelegenheit,f
auswertungsprogramm,n
batterieaufladezeit,f
gerichtsverhandlung,f
artikelstammwartung,f
kennwortmakrobefehl,m
kontoklassifikation,f
selbstzufriedenheit,f
zweidrittelmehrheit,f
arbeitsablaufstudie,f
konzentrationslager,n
vorkaufsberechtigte,m;f
briefmarkensammlung,f
jahresbescheinigung,f
steuerhinterziehung,f
lesegeschwindigkeit,f
umgebungstemperatur,f
teilspannungsmesser,m
leistungsmotivation,f
fertigungskontrolle,f
abrechnungsmaschine,f
umweltbelastbarkeit,f
finanzmittelbindung,f
leistungstransistor,m
abbuchungsverfahren,n
industrieproduktion,f
bewilligungsvorlage,f
datenklassifikation,f
rechnungsabgrenzung,f
bereitstellungsraum,m
netzwerkarchitektur,f
nullpunktabweichung,f
blutsverwandtschaft,f
luftfahrtsindustrie,f
steinkohlenbergwerk,n
elektronikindustrie,f
kondensatorspeicher,m
gutachterkommission,f
durchschnittsertrag,m
arbeitsplatzrechner,m
hochgeschwindigkeit,f
gemeinschaftsarbeit,f
verkehrsministerium,n
anlagenberechtigung,f
geisteswissenschaft,f
tabellenkalkulation,f
softwarekombination,f
untersuchungsbeamte,m
versorgungsspannung,f
flotationsverfahren,n
teppichkehrmaschine,f
ungeschicktlichkeit,f
beobachtungsstation,f
schreckensbotschaft,f
kapitalgewinnsteuer,f
kameradschaftsabend,m
anlagenbestandskont,n
staatsangelegenheit,f
